domain,method,n_support_seeds,query_count_per_state,macro_f1_mean,macro_f1_sd,balanced_accuracy_mean,balanced_accuracy_sd,nll_mean,nll_sd,brier_mean,brier_sd,ece_mean,ece_sd
hawaii-wildfire,Frozen,3,300,0.2003045404208195,0.0,0.3466666666666667,0.0,1.282974471723114,0.0,0.7631042646036118,1.3597399555105182e-16,0.22048199283567538,0.0
hawaii-wildfire,Frozen + T,3,300,0.2003045404208195,0.0,0.3466666666666667,0.0,1.1203202584823453,0.022720522482395148,0.6794828871091404,0.013046799784494207,0.06251781369097403,0.04047086106242121
hawaii-wildfire,Frozen + all-support bias,3,300,0.3427502917565192,0.013983366275775221,0.3522222222222222,0.01071516751221436,1.144046101272034,0.001371300934794695,0.6912099744828795,0.0015329238033770128,0.09920157920115551,0.018442176759571594
hawaii-wildfire,LoRA-1pass,3,300,0.24486625411150817,0.05188677317157301,0.33666666666666667,0.017638342073763955,1.1862853940599936,0.013821243238362764,0.7211084875884607,0.01595479420031464,0.1603612135548065,0.05345983342286571
hawaii-wildfire,LoRA-1pass + T,3,300,0.24486625411150817,0.05188677317157301,0.33666666666666667,0.017638342073763955,1.1657267650135088,0.1063161537675955,0.6962980074884472,0.04449783246681396,0.09194872579854067,0.0619159134189853
hawaii-wildfire,LoRA-4passes,3,300,0.30202460185416297,0.01708849740389846,0.35555555555555557,0.011706281947614174,1.1638482433918507,0.027182731268339703,0.7029922738610667,0.013376558804550562,0.1273100218467446,0.04278523645995762
hawaii-wildfire,LoRA-4passes + T,3,300,0.30202460185416297,0.01708849740389846,0.35555555555555557,0.011706281947614174,1.2583126990595679,0.2723598948650513,0.7266175241967644,0.10099671933526139,0.11854028259959513,0.1451294580750321
hawaii-wildfire,Aperture,3,300,0.3043695516655786,0.007907799898455765,0.35888888888888887,0.027755546659548404,1.2522718865475817,0.14645580613750403,0.7272718843839084,0.03793202083339323,0.12941377317412983,0.025017769699556595
hawaii-wildfire,Aperture + T,3,300,0.3043695516655786,0.007907799898455765,0.35888888888888887,0.027755546659548404,1.1248822473638296,0.02325330541054251,0.6807342948442908,0.010822691421574914,0.05821936276566363,0.01941280369381979
hawaii-wildfire,LoRA-selected,3,300,0.2728230433835327,0.049834978029296664,0.3466666666666667,0.01855921454276675,1.1628709302867157,0.02577539050306973,0.7055350360555558,0.01741437525428617,0.13328668140778932,0.05182592666963422
hawaii-wildfire,LoRA-selected + T,3,300,0.30202460185416297,0.01708849740389846,0.35555555555555557,0.011706281947614174,1.2583126990595679,0.2723598948650513,0.7266175241967644,0.10099671933526139,0.11854028259959513,0.1451294580750321
libya-flood,Frozen,3,300,0.29029325890151864,0.0,0.38333333333333336,0.0,1.3002789755201976,0.0,0.7537016482712459,0.0,0.18858643411600876,3.3993498887762956e-17
libya-flood,Frozen + T,3,300,0.29029325890151864,0.0,0.38333333333333336,0.0,1.0986104718686864,0.0030762790666441033,0.6663833074746864,0.0018012736241968333,0.027575028030251764,0.014839996880607456
