domain,support_seed,method,count,macro_f1,balanced_accuracy,nll,brier,ece
hawaii-wildfire,0,Frozen,300,0.2003045404208195,0.3466666666666667,1.282974471723114,0.7631042646036119,0.22048199283567538
hawaii-wildfire,0,Frozen + T,300,0.2003045404208195,0.3466666666666667,1.1077325571995487,0.6722707082826773,0.040687584205897576
hawaii-wildfire,0,Frozen + all-support bias,300,0.3303288702948578,0.34,1.1448403912232121,0.692361641295109,0.1030716946841604
hawaii-wildfire,0,LoRA-1pass,300,0.21135946132360872,0.3233333333333333,1.1995637677483726,0.7351765101431279,0.19529660195819065
hawaii-wildfire,0,LoRA-1pass + T,300,0.21135946132360872,0.3233333333333333,1.1072187486271299,0.6727169608065364,0.06449420438031708
hawaii-wildfire,0,LoRA-4passes,300,0.2832321582436072,0.3433333333333333,1.1359429436327282,0.6900300049801246,0.0835409532145838
hawaii-wildfire,0,LoRA-4passes + T,300,0.2832321582436072,0.3433333333333333,1.1098259384451197,0.6739917787602254,0.03935971005068535
hawaii-wildfire,0,Aperture,300,0.30067067266617303,0.33666666666666667,1.1548243110481844,0.6995905772242927,0.10058380182761015
hawaii-wildfire,0,Aperture + T,300,0.30067067266617303,0.33666666666666667,1.1078039105053,0.6726863290250024,0.03613932776014938
hawaii-wildfire,0,LoRA-selected,300,0.2832321582436072,0.3433333333333333,1.1359429436327282,0.6900300049801246,0.0835409532145838
hawaii-wildfire,0,LoRA-selected + T,300,0.2832321582436072,0.3433333333333333,1.1098259384451197,0.6739917787602254,0.03935971005068535
hawaii-wildfire,1,Frozen,300,0.2003045404208195,0.3466666666666667,1.282974471723114,0.7631042646036119,0.22048199283567538
hawaii-wildfire,1,Frozen + T,300,0.2003045404208195,0.3466666666666667,1.1465486137372105,0.6945435538628072,0.10921660356066312
hawaii-wildfire,1,Frozen + all-support bias,300,0.3400270364556079,0.3566666666666667,1.1448352504669026,0.6917982300133013,0.11540158523793728
hawaii-wildfire,1,LoRA-1pass,300,0.30463369888456127,0.3566666666666667,1.171978720091732,0.7037728495451534,0.09881866521349116
hawaii-wildfire,1,LoRA-1pass + T,300,0.30463369888456127,0.3566666666666667,1.288445919469,0.7476234239275735,0.16284474786190528
hawaii-wildfire,1,LoRA-4passes,300,0.3166313697806364,0.3666666666666667,1.1653561528875431,0.7021990001094425,0.1293507175160464
hawaii-wildfire,1,LoRA-4passes + T,300,0.3166313697806364,0.3666666666666667,1.5726470491523559,0.8430593906097491,0.28603829850472023
hawaii-wildfire,1,Aperture,300,0.3134489302967564,0.38999999999999996,1.4206922936035629,0.7705089175019559,0.14224339931113533
hawaii-wildfire,1,Aperture + T,300,0.3134489302967564,0.38999999999999996,1.1513647716700175,0.6930379718446188,0.07260766159937732
hawaii-wildfire,1,LoRA-selected,300,0.3166313697806364,0.3666666666666667,1.1653561528875431,0.7021990001094425,0.1293507175160464
hawaii-wildfire,1,LoRA-selected + T,300,0.3166313697806364,0.3666666666666667,1.5726470491523559,0.8430593906097491,0.28603829850472023
hawaii-wildfire,2,Frozen,300,0.2003045404208195,0.3466666666666667,1.282974471723114,0.7631042646036119,0.22048199283567538
hawaii-wildfire,2,Frozen + T,300,0.2003045404208195,0.3466666666666667,1.1066796045102767,0.6716343991819362,0.037649253306361395
hawaii-wildfire,2,Frozen + all-support bias,300,0.35789496851909197,0.35999999999999993,1.1424626621259872,0.6894700521402283,0.07913145768136881
hawaii-wildfire,2,LoRA-1pass,300,0.21860560212635452,0.33,1.1873136943398763,0.7243761030771005,0.1869683734927378
hawaii-wildfire,2,LoRA-1pass + T,300,0.21860560212635452,0.33,1.1015156269443969,0.6685536377312318,0.04850722515339965
hawaii-wildfire,2,LoRA-4passes,300,0.3062102775382453,0.3566666666666667,1.1902456336552814,0.7167478164936327,0.16903839480960361
hawaii-wildfire,2,LoRA-4passes + T,300,0.3062102775382453,0.3566666666666667,1.0924651095812286,0.6628014032203188,0.03022283924337981
hawaii-wildfire,2,Aperture,300,0.29898905203380627,0.35000000000000003,1.181299054990998,0.7117161584254766,0.14541411838364401
hawaii-wildfire,2,Aperture + T,300,0.29898905203380627,0.35000000000000003,1.1154780599161718,0.676478583663251,0.06591109893746419
hawaii-wildfire,2,LoRA-selected,300,0.21860560212635452,0.33,1.1873136943398763,0.7243761030771005,0.1869683734927378
hawaii-wildfire,2,LoRA-selected + T,300,0.3062102775382453,0.3566666666666667,1.0924651095812286,0.6628014032203188,0.03022283924337981
libya-flood,0,Frozen,300,0.29029325890151864,0.38333333333333336,1.3002789755201976,0.7537016482712459,0.18858643411600878
libya-flood,0,Frozen + T,300,0.29029325890151864,0.38333333333333336,1.0952894847521664,0.6644343403643584,0.013706252421180577
libya-flood,0,Frozen + all-support bias,300,0.36805214479293363,0.3866666666666667,1.0981843841216024,0.6653545181127347,0.06892069956846318
libya-flood,0,LoRA-1pass,300,0.2868453143552564,0.37333333333333335,1.3978636457756644,0.7736826047611477,0.20978763717326326
libya-flood,0,LoRA-1pass + T,300,0.2868453143552564,0.37333333333333335,1.0976490311065035,0.6658706875238352,0.007730905559994198
libya-flood,0,LoRA-4passes,300,0.33874997068167073,0.35000000000000003,1.150070405128196,0.6950284156820582,0.1288500739812103
libya-flood,0,LoRA-4passes + T,300,0.33874997068167073,0.35000000000000003,1.093060931282287,0.663008218703122,0.012345525796971379
libya-flood,0,Aperture,300,0.32321720522342695,0.33666666666666667,1.1542995294120972,0.7022679839526904,0.14892754678901257
libya-flood,0,Aperture + T,300,0.32321720522342695,0.33666666666666667,1.1014278333424063,0.6689720709493421,0.047093776987123664
libya-flood,0,LoRA-selected,300,0.33874997068167073,0.35000000000000003,1.150070405128196,0.6950284156820582,0.1288500739812103
libya-flood,0,LoRA-selected + T,300,0.2868453143552564,0.37333333333333335,1.0976490311065035,0.6658706875238352,0.007730905559994198
libya-flood,1,Frozen,300,0.29029325890151864,0.38333333333333336,1.3002789755201976,0.7537016482712459,0.18858643411600878
libya-flood,1,Frozen + T,300,0.29029325890151864,0.38333333333333336,1.0991792803419507,0.666728718640239,0.025793435984801293
libya-flood,1,Frozen + all-support bias,300,0.36805214479293363,0.3866666666666667,1.09879176244725,0.6659614511806999,0.08705513803078649
libya-flood,1,LoRA-1pass,300,0.2861217434251142,0.38000000000000006,1.2884827286443752,0.7529550214132993,0.18886261263367615
libya-flood,1,LoRA-1pass + T,300,0.2861217434251142,0.38000000000000006,1.0979328064074791,0.6661203656001004,0.011764209364445452
libya-flood,1,LoRA-4passes,300,0.317220120498809,0.4066666666666667,1.1064314261568013,0.6702199477711832,0.0685283994827374
libya-flood,1,LoRA-4passes + T,300,0.317220120498809,0.4066666666666667,1.0871464021156083,0.6584610203288296,0.020763869797808223
libya-flood,1,Aperture,300,0.30039822719160164,0.36000000000000004,1.1373735042449626,0.6890789779271864,0.1045494634703067
libya-flood,1,Aperture + T,300,0.30039822719160164,0.36000000000000004,1.119148736588838,0.6784725408270897,0.07768534911910328
libya-flood,1,LoRA-selected,300,0.317220120498809,0.4066666666666667,1.1064314261568013,0.6702199477711832,0.0685283994827374
libya-flood,1,LoRA-selected + T,300,0.317220120498809,0.4066666666666667,1.0871464021156083,0.6584610203288296,0.020763869797808223
libya-flood,2,Frozen,300,0.29029325890151864,0.38333333333333336,1.3002789755201976,0.7537016482712459,0.18858643411600878
libya-flood,2,Frozen + T,300,0.29029325890151864,0.38333333333333336,1.1013626505119427,0.6679868634194622,0.043225395684773425
libya-flood,2,Frozen + all-support bias,300,0.3422038834882872,0.37000000000000005,1.0976291028982492,0.6639199612293241,0.08858734622593534
libya-flood,2,LoRA-1pass,300,0.3258446040997264,0.39999999999999997,1.4045392696096086,0.7596397155645087,0.14753722228236618
libya-flood,2,LoRA-1pass + T,300,0.3258446040997264,0.39999999999999997,1.103814291279793,0.6690557933436638,0.011174191985032337
libya-flood,2,LoRA-4passes,300,0.3703938732303056,0.38999999999999996,1.142668218857787,0.6893730484984892,0.11827983355075769
libya-flood,2,LoRA-4passes + T,300,0.3703938732303056,0.38999999999999996,1.1350534080445993,0.6856254636583261,0.09648989007548181
libya-flood,2,Aperture,300,0.4202041971438524,0.43,1.0943910685180367,0.6623092951887687,0.08255005361522058
libya-flood,2,Aperture + T,300,0.4202041971438524,0.43,1.0862768178413664,0.6584228025508164,0.0655021324314883
libya-flood,2,LoRA-selected,300,0.3703938732303056,0.38999999999999996,1.142668218857787,0.6893730484984892,0.11827983355075769
libya-flood,2,LoRA-selected + T,300,0.3703938732303056,0.38999999999999996,1.1350534080445993,0.6856254636583261,0.09648989007548181
noto-earthquake,0,Frozen,300,0.188229238160604,0.32,1.2860715061244987,0.7671571500158717,0.2475208115467692
noto-earthquake,0,Frozen + T,300,0.188229238160604,0.32,1.1011519356819177,0.6685048445517436,0.07333818656932095
noto-earthquake,0,Frozen + all-support bias,300,0.36604196149146206,0.36999999999999994,1.1140889702414227,0.6752493557120574,0.07684762104855448
noto-earthquake,0,LoRA-1pass,300,0.28172102251384684,0.3433333333333333,1.1117672306725341,0.6745401015427874,0.09829866990402636
noto-earthquake,0,LoRA-1pass + T,300,0.28172102251384684,0.3433333333333333,1.093779686148312,0.6633524065743188,0.026374634701294624
noto-earthquake,0,LoRA-4passes,300,0.3912591664709413,0.4066666666666667,1.1298199558071793,0.6775899158026976,0.08212797783784287
noto-earthquake,0,LoRA-4passes + T,300,0.3912591664709413,0.4066666666666667,1.0900574215988603,0.660804889893306,0.040870159198678896
noto-earthquake,0,Aperture,300,0.3249929035532751,0.36999999999999994,1.111019436867921,0.6724849621990435,0.0960207191195874
noto-earthquake,0,Aperture + T,300,0.3249929035532751,0.36999999999999994,1.0905934094745726,0.661292789240817,0.011796724456768937
