domain,support_seed,arm,variant,condition,temperature,count,macro_f1,balanced_accuracy,nll,brier,ece
hawaii-wildfire,0,frozen,raw,clean,4.477442277136681,60,0.22138680033416872,0.3684210526315789,1.2975141583849281,0.7798427734834533,0.28609589798497514
hawaii-wildfire,0,frozen,temperature,clean,4.477442277136681,60,0.22138680033416872,0.3684210526315789,1.112226225785091,0.6755802985493065,0.053215534897180304
hawaii-wildfire,0,frozen,raw,gaussian4,4.477442277136681,60,0.15384615384615385,0.3333333333333333,1.2851556877193187,0.7833889975267854,0.2932715431707945
hawaii-wildfire,0,frozen,temperature,gaussian4,4.477442277136681,60,0.15384615384615385,0.3333333333333333,1.1106062435203057,0.6748999214235752,0.08788284799791764
hawaii-wildfire,0,frozen,raw,gaussian8,4.477442277136681,60,0.1891774891774892,0.3508771929824561,1.276694758200212,0.7730627485952559,0.2565013000496706
hawaii-wildfire,0,frozen,temperature,gaussian8,4.477442277136681,60,0.1891774891774892,0.3508771929824561,1.1073724016673543,0.6726504761372761,0.0712407637338786
hawaii-wildfire,0,frozen,raw,jpeg40,4.477442277136681,60,0.1891774891774892,0.3508771929824561,1.298989026413463,0.7825801708019434,0.2817344967696216
hawaii-wildfire,0,frozen,temperature,jpeg40,4.477442277136681,60,0.1891774891774892,0.3508771929824561,1.1121940083404618,0.6754879879697773,0.07842207930938092
hawaii-wildfire,0,frozen,raw,jpeg70,4.477442277136681,60,0.22138680033416872,0.3684210526315789,1.2753488631266388,0.7722954459297805,0.270338420852371
hawaii-wildfire,0,frozen,temperature,jpeg70,4.477442277136681,60,0.22138680033416872,0.3684210526315789,1.106788935100903,0.6721592613960528,0.0874900086018435
hawaii-wildfire,0,lora1,raw,clean,3.357608036245122,60,0.2884848484848485,0.3745232646834477,1.1052548164561766,0.6694076515842224,0.08852710029114644
hawaii-wildfire,0,lora1,temperature,clean,3.357608036245122,60,0.2884848484848485,0.3745232646834477,1.0823867397036777,0.6556062981190449,0.032953390135378596
hawaii-wildfire,0,lora1,raw,gaussian4,3.357608036245122,60,0.24393939393939398,0.35392829900839057,1.1252266566050864,0.6812506219933777,0.13145308548532392
hawaii-wildfire,0,lora1,temperature,gaussian4,3.357608036245122,60,0.24393939393939398,0.35392829900839057,1.0851111051691438,0.6571898544259799,0.03423672001247002
hawaii-wildfire,0,lora1,raw,gaussian8,3.357608036245122,60,0.29914529914529914,0.3890160183066362,1.0974710632280462,0.6635780151641123,0.1078074415756911
hawaii-wildfire,0,lora1,temperature,gaussian8,3.357608036245122,60,0.29914529914529914,0.3890160183066362,1.079082031114748,0.6532682787369779,0.09916023057960674
hawaii-wildfire,0,lora1,raw,jpeg40,3.357608036245122,60,0.27136752136752135,0.3714721586575134,1.1138677502736125,0.6761903061503178,0.1352758633762377
hawaii-wildfire,0,lora1,temperature,jpeg40,3.357608036245122,60,0.27136752136752135,0.3714721586575134,1.0844077930040121,0.6570354957987704,0.05643547586888102
hawaii-wildfire,0,lora1,raw,jpeg70,3.357608036245122,60,0.23518620436617133,0.3394355453852021,1.1106869097015377,0.6721954973122561,0.12949026551269385
hawaii-wildfire,0,lora1,temperature,jpeg70,3.357608036245122,60,0.23518620436617133,0.3394355453852021,1.082812980113901,0.6556698115686967,0.06336359472802237
hawaii-wildfire,0,lora4,raw,clean,1.8881217525718474,60,0.3699545576049184,0.44241037376048814,1.0667452459461417,0.6446981523312177,0.05537812792581013
hawaii-wildfire,0,lora4,temperature,clean,1.8881217525718474,60,0.3699545576049184,0.44241037376048814,1.0750605745266673,0.6507276779345355,0.08860877638283883
hawaii-wildfire,0,lora4,raw,gaussian4,1.8881217525718474,60,0.3708800690250216,0.4227900669548266,1.0765656802890322,0.6516071820386602,0.05464665339451669
hawaii-wildfire,0,lora4,temperature,gaussian4,1.8881217525718474,60,0.3708800690250216,0.4227900669548266,1.080238699327299,0.6542961134691028,0.07131677010131965
hawaii-wildfire,0,lora4,raw,gaussian8,1.8881217525718474,60,0.4205456800330715,0.4754216459021951,1.0567202405400884,0.6382590710802819,0.0883731624744591
