domain,support_seed,comparison,selected_lora,macro_f1,balanced_accuracy,nll,brier,ece
hawaii-wildfire,0,Aperture-raw minus LoRA-selected,lora4,0.01743851442256583,-0.006666666666666654,0.018881367415456207,0.009560572244168175,0.01704284861302635
hawaii-wildfire,0,Aperture-temperature minus LoRA-selected,lora4,0.01743851442256583,-0.006666666666666654,-0.02813903312742827,-0.017343675955122206,-0.047401625454434416
hawaii-wildfire,0,Aperture-raw minus LoRA-selected + T,lora4,0.01743851442256583,-0.006666666666666654,0.04499837260306472,0.02559879846406732,0.0612240917769248
hawaii-wildfire,0,Aperture-temperature minus LoRA-selected + T,lora4,0.01743851442256583,-0.006666666666666654,-0.0020220279398197594,-0.0013054497352230632,-0.003220382290535971
hawaii-wildfire,1,Aperture-raw minus LoRA-selected,lora4,-0.003182439483879973,0.02333333333333326,0.25533614071601973,0.06830991739251346,0.012892681795088928
hawaii-wildfire,1,Aperture-temperature minus LoRA-selected,lora4,-0.003182439483879973,0.02333333333333326,-0.013991381217525634,-0.009161028264823678,-0.05674305591666909
hawaii-wildfire,1,Aperture-raw minus LoRA-selected + T,lora4,-0.003182439483879973,0.02333333333333326,-0.151954755548793,-0.07255047310779317,-0.1437948991935849
hawaii-wildfire,1,Aperture-temperature minus LoRA-selected + T,lora4,-0.003182439483879973,0.02333333333333326,-0.4212822774823384,-0.1500214187651303,-0.21343063690534292
hawaii-wildfire,2,Aperture-raw minus LoRA-selected,lora1,0.08038344990745175,0.020000000000000018,-0.006014639348878248,-0.0126599446516239,-0.041554255109093774
hawaii-wildfire,2,Aperture-temperature minus LoRA-selected,lora1,0.08038344990745175,0.020000000000000018,-0.07183563442370455,-0.047897519413849565,-0.1210572745552736
hawaii-wildfire,2,Aperture-raw minus LoRA-selected + T,lora4,-0.007221225504439044,-0.006666666666666654,0.08883394540976952,0.04891475520515787,0.1151912791402642
hawaii-wildfire,2,Aperture-temperature minus LoRA-selected + T,lora4,-0.007221225504439044,-0.006666666666666654,0.023012950334943216,0.013677180442932202,0.03568825969408438
libya-flood,0,Aperture-raw minus LoRA-selected,lora4,-0.01553276545824378,-0.013333333333333364,0.004229124283901209,0.007239568270632213,0.020077472807802282
libya-flood,0,Aperture-temperature minus LoRA-selected,lora4,-0.01553276545824378,-0.013333333333333364,-0.04864257178578968,-0.02605634473271612,-0.08175629699408662
libya-flood,0,Aperture-raw minus LoRA-selected + T,lora1,0.03637189086817055,-0.03666666666666668,0.056650498305593766,0.03639729642885525,0.14119664122901837
libya-flood,0,Aperture-temperature minus LoRA-selected + T,lora1,0.03637189086817055,-0.03666666666666668,0.0037788022359028783,0.0031013834255069206,0.039362871427129464
libya-flood,1,Aperture-raw minus LoRA-selected,lora4,-0.016821893307207347,-0.046666666666666634,0.030942078088161296,0.01885903015600321,0.03602106398756931
libya-flood,1,Aperture-temperature minus LoRA-selected,lora4,-0.016821893307207347,-0.046666666666666634,0.01271731043203661,0.008252593055906532,0.009156949636365888
libya-flood,1,Aperture-raw minus LoRA-selected + T,lora4,-0.016821893307207347,-0.046666666666666634,0.05022710212935433,0.030617957598356838,0.08378559367249848
libya-flood,1,Aperture-temperature minus LoRA-selected + T,lora4,-0.016821893307207347,-0.046666666666666634,0.03200233447322964,0.02001152049826016,0.05692147932129506
libya-flood,2,Aperture-raw minus LoRA-selected,lora4,0.04981032391354678,0.040000000000000036,-0.04827715033975033,-0.02706375330972055,-0.03572977993553711
libya-flood,2,Aperture-temperature minus LoRA-selected,lora4,0.04981032391354678,0.040000000000000036,-0.056391401016420595,-0.030950245947672816,-0.052777701119269396
libya-flood,2,Aperture-raw minus LoRA-selected + T,lora4,0.04981032391354678,0.040000000000000036,-0.04066233952656262,-0.02331616846955742,-0.013939836460261229
libya-flood,2,Aperture-temperature minus LoRA-selected + T,lora4,0.04981032391354678,0.040000000000000036,-0.048776590203232884,-0.027202661107509685,-0.030987757643993516
noto-earthquake,0,Aperture-raw minus LoRA-selected,lora1,0.04327188103942825,0.026666666666666616,-0.000747793804613206,-0.002055139343743906,-0.002277950784438959
noto-earthquake,0,Aperture-temperature minus LoRA-selected,lora1,0.04327188103942825,0.026666666666666616,-0.021173821197961518,-0.013247312301970404,-0.08650194544725742
noto-earthquake,0,Aperture-raw minus LoRA-selected + T,lora4,-0.06626626291766619,-0.036666666666666736,0.020962015269060608,0.011680072305737532,0.055150559920908504
noto-earthquake,0,Aperture-temperature minus LoRA-selected + T,lora4,-0.06626626291766619,-0.036666666666666736,0.000535987875712296,0.0004878993475110338,-0.02907343474190996
noto-earthquake,1,Aperture-raw minus LoRA-selected,lora4,0.0258974022619749,-0.0033333333333334103,-0.02987396292506861,-0.01878852410083598,-0.030990477817202836
noto-earthquake,1,Aperture-temperature minus LoRA-selected,lora4,0.0258974022619749,-0.0033333333333334103,-0.04153574197074006,-0.026159961492988715,-0.05410915617054093
noto-earthquake,1,Aperture-raw minus LoRA-selected + T,lora4,0.0258974022619749,-0.0033333333333334103,0.006458363868936168,0.0034366429830533507,0.022626095671518034
noto-earthquake,1,Aperture-temperature minus LoRA-selected + T,lora4,0.0258974022619749,-0.0033333333333334103,-0.005203415176735282,-0.003934794409099385,-0.0004925826818200571
noto-earthquake,2,Aperture-raw minus LoRA-selected,lora4,0.02479452091785711,0.019999999999999962,-0.029695945702091775,-0.012338452984632542,-0.04458109844886915
noto-earthquake,2,Aperture-temperature minus LoRA-selected,lora4,0.02479452091785711,0.019999999999999962,0.34130586807576035,0.14703517291581736,0.1754334350262216
noto-earthquake,2,Aperture-raw minus LoRA-selected + T,lora4,0.02479452091785711,0.019999999999999962,-0.11743657794852314,-0.04967082497198205,-0.1062004393796721
noto-earthquake,2,Aperture-temperature minus LoRA-selected + T,lora4,0.02479452091785711,0.019999999999999962,0.253565235829329,0.10970280092846785,0.11381409409541865
turkey-earthquake,0,Aperture-raw minus LoRA-selected,lora4,-0.09844510245001259,-0.07666666666666672,-0.04619126248790195,-0.004487784386360993,0.00801843125655631
turkey-earthquake,0,Aperture-temperature minus LoRA-selected,lora4,-0.09844510245001259,-0.07666666666666672,-0.057685420027162815,-0.01186246078661124,-0.023140307039763615
turkey-earthquake,0,Aperture-raw minus LoRA-selected + T,lora4,-0.09844510245001259,-0.07666666666666672,-0.009779059849982064,0.005900295897642405,0.031677527001874296
turkey-earthquake,0,Aperture-temperature minus LoRA-selected + T,lora4,-0.09844510245001259,-0.07666666666666672,-0.021273217389242927,-0.0014743805026078416,0.0005187887055543711
turkey-earthquake,1,Aperture-raw minus LoRA-selected,lora4,-0.04961282504707781,-0.04999999999999999,0.06607570066606905,0.029955730870951824,0.010219325348097469
turkey-earthquake,1,Aperture-temperature minus LoRA-selected,lora4,-0.04961282504707781,-0.04999999999999999,0.17615769080684562,0.07500469011973221,0.08013353367933322
turkey-earthquake,1,Aperture-raw minus LoRA-selected + T,lora4,-0.04961282504707781,-0.04999999999999999,0.09492113670158275,0.04786301124004966,0.04718675678599643
turkey-earthquake,1,Aperture-temperature minus LoRA-selected + T,lora4,-0.04961282504707781,-0.04999999999999999,0.20500312684235933,0.09291197048883004,0.11710096511723218
turkey-earthquake,2,Aperture-raw minus LoRA-selected,lora4,-0.04781606937743649,-0.046666666666666745,-0.073178668836555,-0.021689884291865913,-0.03118513178076117
turkey-earthquake,2,Aperture-temperature minus LoRA-selected,lora4,-0.04781606937743649,-0.046666666666666745,-0.1051446390095403,-0.040018595361732356,-0.08844536450531906
turkey-earthquake,2,Aperture-raw minus LoRA-selected + T,lora4,-0.04781606937743649,-0.046666666666666745,0.02429328849908985,0.016274656352490702,0.061267282452374096
turkey-earthquake,2,Aperture-temperature minus LoRA-selected + T,lora4,-0.04781606937743649,-0.046666666666666745,-0.007672681673895454,-0.0020540547173757417,0.004007049727816209
hospital_2,0,Aperture-raw minus LoRA-selected,lora4,-0.19286100490480051,-0.13,-0.23928301900726978,-0.018382774953057457,-0.08550329038610863
hospital_2,0,Aperture-temperature minus LoRA-selected,lora4,-0.19286100490480051,-0.13,-0.22874155764236925,-0.00991434344060077,-0.06341614557721179
hospital_2,0,Aperture-raw minus LoRA-selected + T,lora4,-0.19286100490480051,-0.13,-0.561403811887104,-0.049844804268147025,-0.12075049534708099
hospital_2,0,Aperture-temperature minus LoRA-selected + T,lora4,-0.19286100490480051,-0.13,-0.5508623505222034,-0.04137637275569034,-0.09866335053818415
hospital_2,1,Aperture-raw minus LoRA-selected,lora4,0.11541674699569437,0.07666666666666677,-1.3870770411911657,-0.30487283458992365,-0.30251027358979576
hospital_2,1,Aperture-temperature minus LoRA-selected,lora4,0.11541674699569437,0.07666666666666677,-1.3830578766118324,-0.30017700262435604,-0.2505160345943146
hospital_2,1,Aperture-raw minus LoRA-selected + T,lora4,0.11541674699569437,0.07666666666666677,-2.301278554726095,-0.33064877098671275,-0.32320307193939407
