domain,support_seed,scale,count,macro_f1,balanced_accuracy,nll,brier,ece
hawaii-wildfire,0,0.0,60,0.22138680033416872,0.3684210526315789,1.2975141583849281,0.7798427734834533,0.28609589798497514
hawaii-wildfire,0,0.5,60,0.3318903318903319,0.37397237053987625,1.0878739590868796,0.6581787162343404,0.04073698268685396
hawaii-wildfire,0,1.0,60,0.32263653483992466,0.3490973811339944,1.0828185433814517,0.6599486100405016,0.05221533429946768
libya-flood,0,0.0,60,0.36382275132275127,0.4073067632850242,1.1975675270689088,0.6951127196228591,0.12808491242386344
libya-flood,0,0.5,60,0.2553952991452992,0.3150879917184265,1.1411467574487266,0.6858555421578709,0.14946742519843373
libya-flood,0,1.0,60,0.2942721330956625,0.3004658385093168,1.1604038750590455,0.703687558817019,0.1462866984730654
noto-earthquake,0,0.0,60,0.17500000000000002,0.3333333333333333,1.2372630199643184,0.749484493217722,0.23857456523305662
noto-earthquake,0,0.5,60,0.3300372142477406,0.38359788359788355,1.1029324958280735,0.6686105200634828,0.1099811147979343
noto-earthquake,0,1.0,60,0.3546576879910213,0.4047619047619047,1.0704769821361648,0.6477670636135104,0.08545031398094821
turkey-earthquake,0,0.0,60,0.2633825944170772,0.32407407407407407,1.3442921069803453,0.7529938433927873,0.21781439436246158
turkey-earthquake,0,0.5,60,0.25423502734427106,0.3148148148148148,1.1766242466860881,0.705662429982786,0.15915510192287954
turkey-earthquake,0,1.0,60,0.26776879305181195,0.3148148148148148,1.1177959465902585,0.685790911816363,0.15599450893216843
hospital_2,0,0.0,60,0.569377990430622,0.6,0.6569746567789297,0.4644877494924768,0.032892846736944654
hospital_2,0,0.5,60,0.660633484162896,0.6666666666666667,0.6204822213646222,0.43130389598646995,0.07594249880237727
hospital_2,0,1.0,60,0.48412698412698413,0.5666666666666667,0.624662085981469,0.4390030472541533,0.11200783252882927
bridge_pick_place,0,0.0,60,0.1738095238095238,0.2595693779904306,1.597891902194121,0.8253385058314834,0.31701836074852524
bridge_pick_place,0,0.5,60,0.4034361471861472,0.4222488038277512,1.3065967881494802,0.7027608917655498,0.11102736312419977
bridge_pick_place,0,1.0,60,0.4489304812834225,0.49282296650717705,1.2376699287509365,0.6846389415124833,0.09453578403753998
droid_pick_place,0,0.0,60,0.14423076923076922,0.26785714285714285,2.0274027471641434,1.0456986042542673,0.45777707169648013
droid_pick_place,0,0.5,60,0.23679916618746405,0.29910714285714285,1.5035859582325348,0.825776023189987,0.24422301571385185
droid_pick_place,0,1.0,60,0.30426565304614084,0.33035714285714285,1.3076899811047284,0.7183588846990889,0.08931667248420677
droid_arti,0,0.0,60,0.08088235294117647,0.19642857142857142,2.1998800401062324,1.0485485346912904,0.4285468550942769
droid_arti,0,0.5,60,0.10408163265306122,0.16483516483516483,1.8375506768633445,0.920305022842194,0.3223510276435786
droid_arti,0,1.0,60,0.2158725919595485,0.27211538461538465,1.5999113798639348,0.8359212452353433,0.1880143413914833
