domain,support_seed,arm,optimized_scalars,basis_scalars,serialized_state_bytes,optimizer_updates,fitting_visits,basis_visits,fit_wall_seconds,extraction_seconds,temperature_scalars,output_bias_scalars,gpu,latency_repeat_count,seconds_per_query_mean,seconds_per_query_repeat_sd,peak_allocated_bytes
hawaii-wildfire,0,frozen,0,0,0,0,0,0,0.5763365559978411,0.0,1,2,NVIDIA GeForce RTX 4090,3,0.4851087510275344,0.0034285914365720935,16974386688
hawaii-wildfire,0,lora1,10092544,0,40409563,6,18,0,7.91846647800412,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.5123458911095642,0.004298394477716405,17014756864
hawaii-wildfire,0,lora4,10092544,0,40409563,24,72,0,25.05810057092458,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.5109943847217235,0.0022984579433739417,17014756864
hawaii-wildfire,0,aperture,1024,32768,138679,4,72,18,22.13637484400533,4.879790710052475,1,0,NVIDIA GeForce RTX 4090,3,0.5067543639710896,0.0034091635952888965,16974391808
hawaii-wildfire,1,frozen,0,0,0,0,0,0,0.3591138430638239,0.0,1,2,NVIDIA GeForce RTX 4090,0,,,16974386688
hawaii-wildfire,1,lora1,10092544,0,40409563,6,18,0,7.8578357740771025,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17014756864
hawaii-wildfire,1,lora4,10092544,0,40409563,24,72,0,24.42877826502081,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17014756864
hawaii-wildfire,1,aperture,1024,32768,138679,4,72,18,21.417904753005132,4.717151080956683,1,0,NVIDIA GeForce RTX 4090,0,,,16974391808
hawaii-wildfire,2,frozen,0,0,0,0,0,0,0.0006453340174630284,0.0,1,2,NVIDIA GeForce RTX 4090,0,,,16974386688
hawaii-wildfire,2,lora1,10092544,0,40409563,6,18,0,6.7246434829430655,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17014756864
hawaii-wildfire,2,lora4,10092544,0,40409563,24,72,0,24.828772254055366,0.0,1,0,NVIDIA GeForce RTX 4090,0,,,17014756864
hawaii-wildfire,2,aperture,1024,32768,138679,4,72,18,21.594236811972223,4.652808760059997,1,0,NVIDIA GeForce RTX 4090,0,,,16974391808
libya-flood,0,frozen,0,0,0,0,0,0,0.0006290150340646505,0.0,1,2,NVIDIA GeForce RTX 4090,3,0.5059557164463008,0.0021697502622217853,16974386688
libya-flood,0,lora1,10092544,0,40409563,6,18,0,6.7141870389459655,0.0,1,0,NVIDIA GeForce RTX 4090,3,0.537795671611093,0.004726328290948908,17014756864
