rank,steps,alpha,lr,loss_first,loss_last,macro_f1,balanced_acc,nll
5,1,0.5,0.05,0.8225,0.8225,0.3233,0.4,1.6332
5,2,0.5,0.05,0.8225,0.8129,0.3233,0.4,1.629
5,4,0.1,0.05,0.8225,0.8176,0.3235,0.4,1.6477
5,4,0.25,0.05,0.8225,0.8163,0.3235,0.4,1.6191
5,4,0.5,0.01,0.8225,0.8112,0.3233,0.4,1.6411
5,4,0.5,0.05,0.8225,0.8022,0.3235,0.4,1.6084
5,4,0.5,0.2,0.8225,0.7945,0.3453,0.4,1.5573
5,4,0.5,1.0,0.8225,0.8098,0.3025,0.3667,1.5457
5,4,1.0,0.05,0.8225,0.7927,0.3235,0.4,1.5843
5,4,2.0,0.05,0.8225,0.7856,0.3271,0.4,1.5485
5,4,3.0,0.05,0.8225,0.7718,0.344,0.4,1.5233
5,4,5.0,0.05,0.8225,0.7674,0.3029,0.35,1.4913
5,4,10.0,0.05,0.8225,0.7458,0.3337,0.3667,1.4218
5,4,100.0,0.05,0.8225,0.7232,0.2461,0.25,1.4537
5,8,0.5,0.05,0.8225,0.7948,0.3235,0.4,1.5878
8,4,0.5,0.05,0.8225,0.8048,0.3235,0.4,1.6077
16,4,0.5,0.05,0.8225,0.7961,0.3235,0.4,1.5915
32,4,0.5,0.05,0.8225,0.7868,0.3235,0.4,1.5823
