domain,f1_mean,f1_sd,method,model,nll_mean,nll_sd,nllt_mean,nllt_sd,seeds
h2,51.74603174603174,0.0,frozen,q25,0.8118138447630975,0.0,1.6228273396930473,0.5733667549559968,2
h2,51.420963696118974,0.09633813425130901,bias,q25,0.7967551655254788,0.001351762128653567,,,2
h2,33.33333333333333,0.0,lora1,q25,0.8455456645762502,0.04875317507423395,0.752317492931369,0.042095514142834835,2
h2,61.31932538527968,18.68492515811733,lora4,q25,3.0620765617170904,3.0017968781429833,0.631771458040246,0.17479269764203795,2
h2,55.342224008408515,0.9215961797443596,aperture,q25,0.7736771982001155,0.00886003040221647,1.0146866189443626,0.028067761269324372,2
path,35.07381404489302,0.0,frozen,q25,2.2772709650387926,0.0,1.8761865777261897,0.004693011913989783,2
path,34.82304829803091,2.1449864996225503,bias,q25,1.6399161702409029,0.007821870465937,,,2
path,39.5063989773156,4.217524750800742,lora1,q25,1.337099595008211,0.0407512782074595,1.3413616093192127,0.040602894218140693,2
path,64.35028766927547,2.1994039110774186,lora4,q25,1.5896470242512346,0.4048844713394258,0.8847955348165233,0.006179187900359784,2
path,39.8691586292077,1.8012636080333941,aperture,q25,1.5043736823674498,0.011347883547343372,1.5001282015767177,0.017351900060391102,2
h2,66.51785714285714,0.0,frozen,q34,1.9521177203390385,0.0,4.3900016322262445,3.3001239900986254,2
h2,59.786264280913855,6.634831496529691,bias,q34,1.8599275534298187,0.10617923890643023,,,2
h2,52.92877538466681,17.334053078331777,lora1,q34,1.4938110973047447,0.6951535758521198,1.9148071086858698,1.66681541092594,2
h2,78.73371564686981,7.910391986364036,lora4,q34,2.6847708630353413,2.580285652006217,2.6653348011574143,2.607772394313104,2
h2,57.130648822721994,5.377867736494933,aperture,q34,1.4669361638530583,0.3406010928508396,4.014025989698528,0.2844067928476958,2
path,44.622502202449105,0.0,frozen,q34,4.792240673177759,0.0,1.4589824132296516,0.04858083526488675,2
path,58.84523672929689,3.1263097589450313,bias,q34,2.362820432961035,0.13428268743749328,,,2
path,64.62991220891996,5.8722948562104635,lora1,q34,1.076660992916237,0.38713656186610257,0.937097286185921,0.21873627636084939,2
path,70.5589558876932,0.30806257041523294,lora4,q34,1.2081360069457516,0.05996042440878841,0.8750459368451047,0.019418746547849433,2
path,59.066122523571615,4.000197713132676,aperture,q34,1.8658238189657435,0.15774168222097268,1.1068352125993908,0.02031097970261326,2
h2,59.18937805730258,0.0,frozen,q38,1.6691309879069969,0.0,4.404531797763347,5.0398491663031955,2
h2,61.49133555049886,1.4145318320353055,bias,q38,0.9587992779734855,0.0033921551131674502,,,2
h2,58.11640545247103,13.16191824285715,lora1,q38,1.0223253329391602,0.03758805210058975,0.8472594425112283,0.06436275306853655,2
h2,75.50268968808294,7.445260871566757,lora4,q38,1.4887337170115835,0.8694811041106556,1.7776020978903793,1.8602263814559616,2
h2,57.60999371464488,10.451047114771628,aperture,q38,0.8646219875754687,0.26587243945228156,2.051764459088176,0.28997016517276464,2
path,38.4575543264291,0.0,frozen,q38,4.645854632495064,0.0,1.7324406410150863,0.0359265819312613,2
path,60.26020712708235,1.2206379036144654,bias,q38,1.4205339973303954,0.015853219143016056,,,2
path,50.086876737497725,0.7930174424452905,lora1,q38,1.2597772933604796,0.042186839013942344,1.1375604917635116,0.017508821252449142,2
path,81.39629869733295,4.95840891101064,lora4,q38,0.631607949824503,0.10406371012016388,0.63896054907693,0.04862577535816935,2
path,61.00881844293323,2.339502369902823,aperture,q38,1.6506059203640107,0.0007518852936953657,1.2446236464354843,0.008264669070797368,2
h2,55.97265670258371,0.0,frozen,g34,2.060357776378687,0.0,1.8649364939870319,0.9948639775133387,2
h2,73.18927972000444,0.36338060922793164,bias,g34,0.7351754136758997,0.005778079312523286,,,2
h2,33.33333333333333,0.0,lora1,g34,1.6672486400768187,0.2742777502631896,0.7153531267630895,0.008041375317889643,2
h2,56.05345911949685,26.79445507326383,lora4,g34,3.5416253594122273,0.4575240281159337,2.2443294008833052,2.218868180473376,2
h2,44.16352869598819,11.435397129448884,aperture,g34,2.2667092492498684,0.6522491118484661,2.157537888752095,1.8367310049497299,2
path,17.0920724706673,0.0,frozen,g34,13.290623390345601,0.0,2.114399294935529,0.013884391560949479,2
path,25.724586425416934,0.20038560946170367,bias,g34,4.468985524679821,0.04433125128448916,,,2
path,24.3191380034068,1.6732944111079555,lora1,g34,1.983760167758603,0.06203490088387931,1.9787426067371185,0.05851394605794948,2
path,34.43287130227253,0.2119486852515024,lora4,g34,2.958816782351777,0.3420689086874828,1.7499758613984486,0.019048642894051518,2
path,23.188260491117134,4.5640304938086045,aperture,g34,3.9203598767676553,1.032421324816518,2.028355513890121,0.03710204688523726,2
